country,code,region,height_cm,gdp_per_capita_2023,protein_g_day_2023,meat_kg_year_2023,population_2023
Angola,AGO,Africa,167.311,6181.41,47.47,18.59,36749909
Albania,ALB,Europe,173.389,15968.99,113.95,56.68,2811660
United Arab Emirates,ARE,Asia,170.455,76379.2,96.68,67.84,10642089
Argentina,ARG,South America,174.616,27284.85,121.54,114.95,45538402
Armenia,ARM,Asia,171.997,20884.1,103.18,54.67,2943398
Australia,AUS,Oceania,179.205,64332.82,124.99,116.78,26451126
Austria,AUT,Europe,177.408,62852.68,108.46,73.71,9130434
Azerbaijan,AZE,Asia,169.749,20444.01,101.95,39.43,10318209
Belgium,BEL,Europe,181.699,58122.64,120.26,59.97,11712891
Burkina Faso,BFA,Africa,169.329,2361.0,92.56,23.08,23025777
Bangladesh,BGD,Asia,163.808,7935.44,67.99,4.49,171466986
Bulgaria,BGR,Europe,178.24,28219.11,86.49,63.74,6795805
Bahrain,BHR,Other,167.743,53814.0,99.79,76.26,1569674
Bahamas,BHS,North America,172.747,34392.93,104.78,114.91,399452
Bosnia and Herzegovina,BIH,Europe,180.869,19023.85,113.72,51.88,3185072
Belarus,BLR,Europe,178.438,28676.56,127.95,111.72,9115679
Belize,BLZ,North America,168.732,11849.01,88.63,68.18,411112
Bolivia,BOL,South America,166.846,9639.65,80.84,84.43,12244161
Brazil,BRA,South America,173.551,18712.66,106.5,104.57,211140731
Barbados,BRB,North America,175.916,10831.03,108.64,76.25,282347
Bhutan,BTN,Other,165.306,14415.64,71.76,14.66,786386
Botswana,BWA,Africa,171.628,18380.44,73.01,43.27,2480242
Canada,CAN,North America,178.09,55101.43,112.92,94.79,39299098
Switzerland,CHE,Europe,178.424,89957.44,101.41,63.97,8870564
Chile,CHL,South America,171.811,26244.09,105.13,98.54,19658833
China,CHN,Asia,171.828,21747.62,131.59,73.54,1422584930
Cote d'Ivoire,CIV,Africa,166.533,6025.91,65.01,12.02,31165653
Cameroon,CMR,Africa,167.823,4835.73,71.3,14.76,28372690
Democratic Republic of Congo,COD,Other,166.795,1072.08,27.72,3.49,105789733
Congo,COG,Africa,167.448,6223.25,58.89,55.8,6182890
Colombia,COL,South America,169.495,17495.15,83.15,62.59,52321152
Comoros,COM,Other,166.194,3818.72,63.04,26.59,850390
Cape Verde,CPV,Africa,173.224,9509.0,82.7,43.85,522335
Costa Rica,CRI,North America,168.932,25111.76,91.85,64.12,5105526
Cyprus,CYP,Europe,174.995,35764.94,98.73,77.95,1344981
Czechia,CZE,Europe,180.104,44762.61,96.08,82.29,10809722
Germany,DEU,Europe,179.881,59982.98,109.22,70.67,84548233
Djibouti,DJI,Africa,166.573,8235.41,74.87,14.07,1152951
Denmark,DNK,Europe,181.385,65902.95,126.33,101.27,5948134
Dominican Republic,DOM,North America,172.747,23082.19,90.04,61.6,11331269
Algeria,DZA,Africa,170.072,14579.8,93.59,22.27,46164222
Ecuador,ECU,South America,167.077,14189.42,69.6,56.24,17980079
Egypt,EGY,Africa,166.684,17073.41,89.77,27.62,114535772
Spain,ESP,Europe,176.594,45786.77,117.64,100.79,47911583
Estonia,EST,Europe,181.593,37453.84,112.13,64.73,1367195
Ethiopia,ETH,Africa,166.232,3155.4,79.88,6.91,128691695
Finland,FIN,Europe,179.591,51699.08,126.14,69.39,5601185
Fiji,FJI,Oceania,173.902,13915.2,87.01,63.16,924150
France,FRA,Europe,179.738,51465.66,115.99,80.31,66438828
Gabon,GAB,Africa,167.936,19721.76,84.78,63.08,2484790
United Kingdom,GBR,Europe,177.49,50689.77,110.01,84.44,68682965
Georgia,GEO,Asia,174.341,23486.85,90.25,45.42,3807494
Ghana,GHA,Africa,168.849,6359.98,67.94,17.37,33787916
Guinea,GIN,Africa,167.545,3548.35,58.23,15.18,14405469
Gambia,GMB,Africa,165.402,2837.37,58.12,19.14,2697846
Guinea-Bissau,GNB,Africa,167.898,2438.67,52.12,14.01,2153343
Greece,GRC,Europe,177.316,34321.48,112.03,81.99,10242910
Grenada,GRD,North America,176.967,15265.42,98.42,80.45,117094
Guatemala,GTM,North America,163.408,12209.1,74.39,54.26,18124841
Guyana,GUY,South America,170.21,43483.97,114.21,88.72,826357
Hong Kong,HKG,Asia,173.614,58703.44,118.32,107.43,7442738
Honduras,HND,North America,166.393,6444.1,63.03,37.69,10644853
Croatia,HRV,Europe,180.782,36542.68,115.3,99.71,3896023
Haiti,HTI,North America,172.638,2967.9,46.01,20.73,11637402
Hungary,HUN,Europe,177.265,35090.24,93.64,76.33,9686465
Indonesia,IDN,Asia,163.552,13956.85,77.8,19.95,281190068
India,IND,Asia,164.946,8948.33,74.57,8.12,1438069597
Ireland,IRL,Europe,178.925,132543.23,136.88,98.38,5196629
Iran,IRN,Asia,173.571,14808.99,79.61,29.9,90608708
Iraq,IRQ,Asia,170.43,13711.9,63.91,21.07,45074055
Iceland,ISL,Europe,180.492,63196.53,151.69,98.05,387559
Israel,ISR,Asia,176.859,44126.65,130.74,108.73,9256311
Italy,ITA,Europe,177.768,50488.25,116.6,71.2,59499452
Jamaica,JAM,North America,174.528,9454.61,91.68,66.96,2839785
Jordan,JOR,Asia,171.032,9288.97,71.1,35.09,11439220
Kazakhstan,KAZ,Asia,171.144,34291.69,106.7,64.9,20330109
Kenya,KEN,Africa,169.64,5699.23,55.77,10.18,55339007
Kyrgyzstan,KGZ,Asia,171.239,9890.67,92.84,39.97,7073523
Cambodia,KHM,Asia,163.33,5791.71,64.43,16.13,17423884
Saint Kitts and Nevis,KNA,North America,169.623,25478.94,90.94,88.84,46783
South Korea,KOR,Asia,174.92,56279.74,110.69,84.0,51748744
Kuwait,KWT,Asia,172.068,54995.76,95.5,62.54,4838781
Laos,LAO,Asia,160.519,8414.74,81.68,31.08,7665001
Lebanon,LBN,Asia,174.389,12818.56,79.58,38.19,5773494
Liberia,LBR,Africa,163.66,1666.13,45.04,12.32,5493035
Saint Lucia,LCA,North America,171.945,23217.35,93.02,90.32,179291
Sri Lanka,LKA,Asia,165.689,12740.03,67.54,11.56,22971615
Lesotho,LSO,Africa,165.59,2316.15,50.54,18.79,2311476
Lithuania,LTU,Europe,179.028,41715.95,123.76,80.87,2854104
Luxembourg,LUX,Europe,177.863,94404.1,122.55,83.03,665101
Latvia,LVA,Europe,181.422,34539.62,110.83,82.65,1882399
Morocco,MAR,Africa,170.4,9063.82,98.09,32.79,37712516
Moldova,MDA,Europe,175.489,11371.89,77.92,33.9,3067072
Madagascar,MDG,Africa,161.548,1605.77,39.53,5.34,31195937
Maldives,MDV,Asia,167.684,18539.81,97.41,29.62,526009
Mexico,MEX,North America,169.011,20015.15,100.29,78.22,129739761
North Macedonia,MKD,Europe,178.331,22247.98,103.11,51.48,1831800
Malta,MLT,Europe,173.32,46795.16,105.84,71.76,532964
Myanmar,MMR,Asia,164.673,7321.16,78.39,20.88,54133800
Montenegro,MNE,Other,178.276,26334.92,134.43,96.86,633553
